"SVN"	"Taxon"	"CountValue"
"53"	"00005CSR"	"Chironomini"	4
"54"	"99048CSR"	"Chironomini"	8
"55"	"99043CSR"	"Chironomini"	28
"56"	"99044CSR"	"Chironomini"	34
"57"	"99045CSR"	"Chironomini"	13
"58"	"99029CSR"	"Chironomini"	1
"59"	"99030CSR"	"Chironomini"	1
"60"	"99033CSR"	"Chironomini"	1
"61"	"99010REM"	"Chironomini"	1
"62"	"99012REM"	"Chironomini"	5
"63"	"99007REM"	"Chironomini"	1
"64"	"99027REM"	"Chironomini"	1
"65"	"99022REM"	"Chironomini"	1
"66"	"99011REM"	"Chironomini"	21
"67"	"99003REM"	"Chironomini"	8
"68"	"99017REM"	"Chironomini"	39
"69"	"99001REM"	"Chironomini"	4
"70"	"99014REM"	"Chironomini"	6
"71"	"99004REM"	"Chironomini"	1
"72"	"00001REM"	"Chironomini"	2
"73"	"00006REM"	"Chironomini"	27
"74"	"00002CSR"	"Chironomini"	14
"75"	"00041CSR"	"Chironomini"	2
"76"	"00019CSR"	"Chironomini"	11
"77"	"00042CSR"	"Chironomini"	1
"78"	"00052CSR"	"Chironomini"	17
"79"	"00036CSR"	"Chironomini"	25
"80"	"00053CSR"	"Chironomini"	11
"81"	"00026CSR"	"Chironomini"	26
"82"	"00065CSR"	"Chironomini"	4
"83"	"00035CSR"	"Chironomini"	37
"84"	"00037CSR"	"Chironomini"	53
"85"	"00062CSR"	"Chironomini"	24
"86"	"00013CSR"	"Chironomini"	18
"87"	"00103CSR"	"Chironomini"	2
"88"	"00012CSR"	"Chironomini"	10
"89"	"00057CSR"	"Chironomini"	19
"90"	"00067CSR"	"Chironomini"	16
"91"	"00027CSR"	"Chironomini"	22
"92"	"00010CSR"	"Chironomini"	20
"93"	"00055CSR"	"Chironomini"	93
"94"	"00038CSR"	"Chironomini"	2
"95"	"00025CSR"	"Chironomini"	2
"96"	"00048CSR"	"Chironomini"	1
"97"	"00050CSR"	"Chironomini"	1
"98"	"00070CSR"	"Chironomini"	15
"99"	"00071CSR"	"Chironomini"	13
"100"	"00033CSR"	"Chironomini"	1
"101"	"00034CSR"	"Chironomini"	1
"102"	"00049CSR"	"Chironomini"	1
"103"	"00060CSR"	"Chironomini"	4
"104"	"00004CSR"	"Chironomini"	12
"105"	"00058CSR"	"Chironomini"	37
"106"	"00061CSR"	"Chironomini"	1
"107"	"00064CSR"	"Chironomini"	4
"108"	"00018CSR"	"Chironomini"	8
"109"	"00017CSR"	"Chironomini"	20
"110"	"00051CSR"	"Chironomini"	8
"111"	"00027REM"	"Chironomini"	3
"112"	"00033REM"	"Chironomini"	1
"113"	"00003REM"	"Chironomini"	1
"114"	"00034REM"	"Chironomini"	1
"115"	"00032REM"	"Chironomini"	4
"116"	"00031REM"	"Chironomini"	2
"117"	"00025REM"	"Chironomini"	1
"118"	"00018REM"	"Chironomini"	38
"119"	"00005REM"	"Chironomini"	180
"120"	"00013REM"	"Chironomini"	2
"121"	"00002REM"	"Chironomini"	2
"122"	"00026REM"	"Chironomini"	3
"123"	"00047CSR"	"Chironomini"	16
"124"	"00044CSR"	"Chironomini"	5
"125"	"00030REM"	"Chironomini"	5
"126"	"01094CSR"	"Chironomini"	1
"127"	"01096CSR"	"Chironomini"	1
"128"	"01102CSR"	"Chironomini"	75
"129"	"01103CSR"	"Chironomini"	4
"130"	"01106CSR"	"Chironomini"	2
"131"	"01016CSR"	"Chironomini"	1
"132"	"01023CSR"	"Chironomini"	1
"133"	"01025CSR"	"Chironomini"	15
"134"	"01027CSR"	"Chironomini"	3
"135"	"01039CSR"	"Chironomini"	1
"136"	"01003CSR"	"Chironomini"	1
"137"	"01005CSR"	"Chironomini"	4
"138"	"01007CSR"	"Chironomini"	6
"139"	"01066CSR"	"Chironomini"	10
"140"	"01069CSR"	"Chironomini"	1
"141"	"01072CSR"	"Chironomini"	3
"142"	"01076CSR"	"Chironomini"	7
"143"	"01050CSR"	"Chironomini"	1
"144"	"01051CSR"	"Chironomini"	39
"145"	"01059CSR"	"Chironomini"	6
"146"	"01062CSR"	"Chironomini"	9
"147"	"01086CSR"	"Chironomini"	1
"148"	"01089CSR"	"Chironomini"	2
"149"	"01111CSR"	"Chironomini"	1
"150"	"01112CSR"	"Chironomini"	2
"151"	"01115CSR"	"Chironomini"	1
"152"	"01116CSR"	"Chironomini"	1
"153"	"01117CSR"	"Chironomini"	4
"154"	"99018CSR"	"Tanytarsini"	7
"155"	"99061CSR"	"Tanytarsini"	13
"156"	"99028CSR"	"Tanytarsini"	54
"157"	"00043CSR"	"Tanytarsini"	11
"158"	"00008CSR"	"Tanytarsini"	21
"159"	"99021CSR"	"Tanytarsini"	65
"160"	"99015REM"	"Tanytarsini"	12
"161"	"99074CSR"	"Tanytarsini"	7
"162"	"99039CSR"	"Tanytarsini"	80
"163"	"99017CSR"	"Tanytarsini"	21
"164"	"99009CSR"	"Tanytarsini"	7
"165"	"99062CSR"	"Tanytarsini"	1
"166"	"99016CSR"	"Tanytarsini"	7
"167"	"00028CSR"	"Tanytarsini"	25
"168"	"99049CSR"	"Tanytarsini"	21
"169"	"00054CSR"	"Tanytarsini"	9
"170"	"99068CSR"	"Tanytarsini"	58
"171"	"99055CSR"	"Tanytarsini"	5
"172"	"00063CSR"	"Tanytarsini"	6
"173"	"99070CSR"	"Tanytarsini"	27
"174"	"99072CSR"	"Tanytarsini"	17
"175"	"99059CSR"	"Tanytarsini"	27
"176"	"00029CSR"	"Tanytarsini"	26
"177"	"99057CSR"	"Tanytarsini"	24
"178"	"99026CSR"	"Tanytarsini"	68
"179"	"99042CSR"	"Tanytarsini"	7
"180"	"99004CSR"	"Tanytarsini"	17
"181"	"01004CSR"	"Tanytarsini"	1
"182"	"00046CSR"	"Tanytarsini"	153
"183"	"99020CSR"	"Tanytarsini"	2
"184"	"00001CSR"	"Tanytarsini"	9
"185"	"99041CSR"	"Tanytarsini"	9
"186"	"99051CSR"	"Tanytarsini"	21
"187"	"99052CSR"	"Tanytarsini"	158
"188"	"99053CSR"	"Tanytarsini"	81
"189"	"99040CSR"	"Tanytarsini"	123
"190"	"99001CSR"	"Tanytarsini"	2
"191"	"00016CSR"	"Tanytarsini"	11
"192"	"99002CSR"	"Tanytarsini"	64
"193"	"99065CSR"	"Tanytarsini"	47
"194"	"99033REM"	"Tanytarsini"	31
"195"	"99015CSR"	"Tanytarsini"	19
"196"	"99013REM"	"Tanytarsini"	14
"197"	"99013CSR"	"Tanytarsini"	6
"198"	"00039CSR"	"Tanytarsini"	52
"199"	"99012CSR"	"Tanytarsini"	1
"200"	"99071CSR"	"Tanytarsini"	101
"201"	"99073CSR"	"Tanytarsini"	26
"202"	"99046CSR"	"Tanytarsini"	90
"203"	"99032CSR"	"Tanytarsini"	5
"204"	"99010CSR"	"Tanytarsini"	11
"205"	"99034CSR"	"Tanytarsini"	70
"206"	"99054CSR"	"Tanytarsini"	29
"207"	"99023CSR"	"Tanytarsini"	138
"208"	"99024CSR"	"Tanytarsini"	26
"209"	"99037CSR"	"Tanytarsini"	76
"210"	"00069CSR"	"Tanytarsini"	76
"211"	"99038CSR"	"Tanytarsini"	74
"212"	"99025CSR"	"Tanytarsini"	5
"213"	"99022CSR"	"Tanytarsini"	32
"214"	"00005CSR"	"Tanytarsini"	15
"215"	"99035CSR"	"Tanytarsini"	3
"216"	"99050CSR"	"Tanytarsini"	19
"217"	"99058CSR"	"Tanytarsini"	98
"218"	"99006CSR"	"Tanytarsini"	4
"219"	"99014CSR"	"Tanytarsini"	10
"220"	"99043CSR"	"Tanytarsini"	2
"221"	"99044CSR"	"Tanytarsini"	20
"222"	"99045CSR"	"Tanytarsini"	20
"223"	"99029CSR"	"Tanytarsini"	19
"224"	"99030CSR"	"Tanytarsini"	27
"225"	"99033CSR"	"Tanytarsini"	42
"226"	"99026REM"	"Tanytarsini"	2
"227"	"99012REM"	"Tanytarsini"	6
"228"	"99009REM"	"Tanytarsini"	14
"229"	"99007REM"	"Tanytarsini"	7
"230"	"99023REM"	"Tanytarsini"	6
"231"	"99030REM"	"Tanytarsini"	78
"232"	"99027REM"	"Tanytarsini"	23
"233"	"99022REM"	"Tanytarsini"	8
"234"	"99011REM"	"Tanytarsini"	11
"235"	"99025REM"	"Tanytarsini"	4
"236"	"99029REM"	"Tanytarsini"	39
"237"	"99002REM"	"Tanytarsini"	5
"238"	"99018REM"	"Tanytarsini"	35
"239"	"99016REM"	"Tanytarsini"	53
"240"	"99003REM"	"Tanytarsini"	9
"241"	"99017REM"	"Tanytarsini"	42
"242"	"99001REM"	"Tanytarsini"	18
"243"	"99035REM"	"Tanytarsini"	1
"244"	"99014REM"	"Tanytarsini"	9
"245"	"99031REM"	"Tanytarsini"	18
"246"	"99019REM"	"Tanytarsini"	13
"247"	"99005REM"	"Tanytarsini"	21
"248"	"99004REM"	"Tanytarsini"	11
"249"	"00001REM"	"Tanytarsini"	17
"250"	"99021REM"	"Tanytarsini"	3
"251"	"99020REM"	"Tanytarsini"	3
"252"	"00011REM"	"Tanytarsini"	12
"253"	"00006REM"	"Tanytarsini"	135
"254"	"00020CSR"	"Tanytarsini"	2
"255"	"00002CSR"	"Tanytarsini"	4
"256"	"00015CSR"	"Tanytarsini"	24
"257"	"00041CSR"	"Tanytarsini"	96
"258"	"00019CSR"	"Tanytarsini"	160
"259"	"00042CSR"	"Tanytarsini"	14
"260"	"00052CSR"	"Tanytarsini"	170
"261"	"00036CSR"	"Tanytarsini"	44
"262"	"00053CSR"	"Tanytarsini"	135
"263"	"00026CSR"	"Tanytarsini"	19
"264"	"00065CSR"	"Tanytarsini"	16
"265"	"00035CSR"	"Tanytarsini"	151
"266"	"00037CSR"	"Tanytarsini"	1
"267"	"00045CSR"	"Tanytarsini"	51
"268"	"00062CSR"	"Tanytarsini"	78
"269"	"00013CSR"	"Tanytarsini"	84
"270"	"00103CSR"	"Tanytarsini"	47
"271"	"00031CSR"	"Tanytarsini"	10
"272"	"00012CSR"	"Tanytarsini"	9
"273"	"00057CSR"	"Tanytarsini"	9
"274"	"00067CSR"	"Tanytarsini"	35
"275"	"00027CSR"	"Tanytarsini"	56
"276"	"00010CSR"	"Tanytarsini"	6
"277"	"00055CSR"	"Tanytarsini"	59
"278"	"00056CSR"	"Tanytarsini"	8
"279"	"00040CSR"	"Tanytarsini"	27
"280"	"00038CSR"	"Tanytarsini"	44
"281"	"00025CSR"	"Tanytarsini"	72
"282"	"00009CSR"	"Tanytarsini"	3
"283"	"01080CSR"	"Tanytarsini"	1
"284"	"00050CSR"	"Tanytarsini"	7
"285"	"00070CSR"	"Tanytarsini"	23
"286"	"00071CSR"	"Tanytarsini"	31
"287"	"00007CSR"	"Tanytarsini"	18
"288"	"00033CSR"	"Tanytarsini"	4
"289"	"00034CSR"	"Tanytarsini"	25
"290"	"00049CSR"	"Tanytarsini"	112
"291"	"00006CSR"	"Tanytarsini"	7
"292"	"00060CSR"	"Tanytarsini"	21
"293"	"00004CSR"	"Tanytarsini"	37
"294"	"00058CSR"	"Tanytarsini"	17
"295"	"00061CSR"	"Tanytarsini"	21
"296"	"00064CSR"	"Tanytarsini"	53
"297"	"00018CSR"	"Tanytarsini"	13
"298"	"00003CSR"	"Tanytarsini"	10
"299"	"00017CSR"	"Tanytarsini"	6
"300"	"00051CSR"	"Tanytarsini"	77
"301"	"00027REM"	"Tanytarsini"	25
"302"	"00017REM"	"Tanytarsini"	31
"303"	"00036REM"	"Tanytarsini"	14
"304"	"00033REM"	"Tanytarsini"	23
"305"	"00008REM"	"Tanytarsini"	6
"306"	"00003REM"	"Tanytarsini"	1
"307"	"00029REM"	"Tanytarsini"	1
"308"	"00034REM"	"Tanytarsini"	48
"309"	"00032REM"	"Tanytarsini"	23
"310"	"00019REM"	"Tanytarsini"	11
"311"	"00007REM"	"Tanytarsini"	122
"312"	"00031REM"	"Tanytarsini"	18
"313"	"00020REM"	"Tanytarsini"	71
"314"	"00025REM"	"Tanytarsini"	73
"315"	"00018REM"	"Tanytarsini"	18
"316"	"00005REM"	"Tanytarsini"	93
"317"	"00009REM"	"Tanytarsini"	21
"318"	"00013REM"	"Tanytarsini"	60
"319"	"00012REM"	"Tanytarsini"	42
"320"	"00002REM"	"Tanytarsini"	19
"321"	"00022REM"	"Tanytarsini"	41
"322"	"00026REM"	"Tanytarsini"	33
"323"	"00016REM"	"Tanytarsini"	10
"324"	"00021REM"	"Tanytarsini"	28
"325"	"00010REM"	"Tanytarsini"	140
"326"	"00047CSR"	"Tanytarsini"	38
"327"	"00044CSR"	"Tanytarsini"	5
"328"	"00004REM"	"Tanytarsini"	1
"329"	"00030REM"	"Tanytarsini"	65
"330"	"00035REM"	"Tanytarsini"	1
"331"	"00028REM"	"Tanytarsini"	23
"332"	"01093CSR"	"Tanytarsini"	6
"333"	"01094CSR"	"Tanytarsini"	1
"334"	"01095CSR"	"Tanytarsini"	10
"335"	"01096CSR"	"Tanytarsini"	9
"336"	"01102CSR"	"Tanytarsini"	5
"337"	"01103CSR"	"Tanytarsini"	1
"338"	"01104CSR"	"Tanytarsini"	2
"339"	"01105CSR"	"Tanytarsini"	1
"340"	"01106CSR"	"Tanytarsini"	6
"341"	"01108CSR"	"Tanytarsini"	1
"342"	"01109CSR"	"Tanytarsini"	11
"343"	"01110CSR"	"Tanytarsini"	4
"344"	"01016CSR"	"Tanytarsini"	6
"345"	"01021CSR"	"Tanytarsini"	41
"346"	"01023CSR"	"Tanytarsini"	2
"347"	"01025CSR"	"Tanytarsini"	4
"348"	"01037CSR"	"Tanytarsini"	10
"349"	"01041CSR"	"Tanytarsini"	10
"350"	"01003CSR"	"Tanytarsini"	1
"351"	"01005CSR"	"Tanytarsini"	2
"352"	"01007CSR"	"Tanytarsini"	1
"353"	"01012CSR"	"Tanytarsini"	8
"354"	"01013CSR"	"Tanytarsini"	11
"355"	"01065CSR"	"Tanytarsini"	8
"356"	"01066CSR"	"Tanytarsini"	2
"357"	"01067CSR"	"Tanytarsini"	5
"358"	"01072CSR"	"Tanytarsini"	11
"359"	"01076CSR"	"Tanytarsini"	9
"360"	"01050CSR"	"Tanytarsini"	19
"361"	"01051CSR"	"Tanytarsini"	31
"362"	"01056CSR"	"Tanytarsini"	24
"363"	"01059CSR"	"Tanytarsini"	3
"364"	"01062CSR"	"Tanytarsini"	2
"365"	"01082CSR"	"Tanytarsini"	3
"366"	"01085CSR"	"Tanytarsini"	2
"367"	"01089CSR"	"Tanytarsini"	7
"368"	"01090CSR"	"Tanytarsini"	1
"369"	"01111CSR"	"Tanytarsini"	1
"370"	"01112CSR"	"Tanytarsini"	1
"371"	"01114CSR"	"Tanytarsini"	7
"372"	"01115CSR"	"Tanytarsini"	11
"373"	"01116CSR"	"Tanytarsini"	1
"374"	"01117CSR"	"Tanytarsini"	2
"375"	"01118CSR"	"Tanytarsini"	1
"376"	"01119CSR"	"Tanytarsini"	2
"377"	"01113CSR"	"Tanytarsini"	1
"378"	"99018CSR"	"Diamesinae"	1
"379"	"00043CSR"	"Diamesinae"	8
"380"	"00008CSR"	"Diamesinae"	4
"381"	"99015REM"	"Diamesinae"	1
"382"	"99070CSR"	"Diamesinae"	1
"383"	"99004CSR"	"Diamesinae"	1
"384"	"99041CSR"	"Diamesinae"	1
"385"	"99051CSR"	"Diamesinae"	1
"386"	"99013CSR"	"Diamesinae"	1
"387"	"99012CSR"	"Diamesinae"	1
"388"	"99071CSR"	"Diamesinae"	2
"389"	"99073CSR"	"Diamesinae"	1
"390"	"99046CSR"	"Diamesinae"	1
"391"	"99032CSR"	"Diamesinae"	1
"392"	"99034CSR"	"Diamesinae"	2
"393"	"99054CSR"	"Diamesinae"	3
"394"	"99024CSR"	"Diamesinae"	2
"395"	"00069CSR"	"Diamesinae"	1
"396"	"99026REM"	"Diamesinae"	1
"397"	"99007REM"	"Diamesinae"	4
"398"	"99008REM"	"Diamesinae"	2
"399"	"99027REM"	"Diamesinae"	4
"400"	"99029REM"	"Diamesinae"	1
"401"	"99018REM"	"Diamesinae"	6
"402"	"99014REM"	"Diamesinae"	6
"403"	"00006REM"	"Diamesinae"	5
"404"	"00065CSR"	"Diamesinae"	3
"405"	"00027CSR"	"Diamesinae"	1
"406"	"00010CSR"	"Diamesinae"	1
"407"	"00040CSR"	"Diamesinae"	4
"408"	"00071CSR"	"Diamesinae"	2
"409"	"00006CSR"	"Diamesinae"	11
"410"	"00051CSR"	"Diamesinae"	1
"411"	"00033REM"	"Diamesinae"	6
"412"	"00008REM"	"Diamesinae"	1
"413"	"00034REM"	"Diamesinae"	7
"414"	"00032REM"	"Diamesinae"	1
"415"	"00018REM"	"Diamesinae"	1
"416"	"00005REM"	"Diamesinae"	1
"417"	"00013REM"	"Diamesinae"	7
"418"	"00022REM"	"Diamesinae"	4
"419"	"00026REM"	"Diamesinae"	1
"420"	"00010REM"	"Diamesinae"	2
"421"	"00002SPS"	"Diamesinae"	8
"422"	"00001SPS"	"Diamesinae"	1
"423"	"00035REM"	"Diamesinae"	4
"424"	"00028REM"	"Diamesinae"	4
"425"	"01094CSR"	"Diamesinae"	1
"426"	"01095CSR"	"Diamesinae"	3
"427"	"01102CSR"	"Diamesinae"	1
"428"	"01109CSR"	"Diamesinae"	5
"429"	"01110CSR"	"Diamesinae"	1
"430"	"01016CSR"	"Diamesinae"	3
"431"	"01025CSR"	"Diamesinae"	10
"432"	"01012CSR"	"Diamesinae"	2
"433"	"01065CSR"	"Diamesinae"	2
"434"	"01067CSR"	"Diamesinae"	13
"435"	"01072CSR"	"Diamesinae"	2
"436"	"01051CSR"	"Diamesinae"	6
"437"	"01062CSR"	"Diamesinae"	2
"438"	"01112CSR"	"Diamesinae"	1
"439"	"01114CSR"	"Diamesinae"	2
"440"	"01115CSR"	"Diamesinae"	1
"441"	"01113CSR"	"Diamesinae"	3
"442"	"99019CSR"	"Orthocladiinae"	4
"443"	"99018CSR"	"Orthocladiinae"	45
"444"	"99061CSR"	"Orthocladiinae"	15
"445"	"99028CSR"	"Orthocladiinae"	11
"446"	"00043CSR"	"Orthocladiinae"	54
"447"	"99031CSR"	"Orthocladiinae"	11
"448"	"00008CSR"	"Orthocladiinae"	24
"449"	"99021CSR"	"Orthocladiinae"	83
"450"	"99015REM"	"Orthocladiinae"	57
"451"	"99074CSR"	"Orthocladiinae"	41
"452"	"99039CSR"	"Orthocladiinae"	7
"453"	"99017CSR"	"Orthocladiinae"	8
"454"	"99009CSR"	"Orthocladiinae"	57
"455"	"99004SPS"	"Orthocladiinae"	32
"456"	"99005SPS"	"Orthocladiinae"	40
"457"	"99006SPS"	"Orthocladiinae"	55
"458"	"99062CSR"	"Orthocladiinae"	42
"459"	"99016CSR"	"Orthocladiinae"	8
"460"	"00028CSR"	"Orthocladiinae"	17
"461"	"99049CSR"	"Orthocladiinae"	29
"462"	"00054CSR"	"Orthocladiinae"	7
"463"	"99068CSR"	"Orthocladiinae"	24
"464"	"99055CSR"	"Orthocladiinae"	6
"465"	"00063CSR"	"Orthocladiinae"	22
"466"	"99070CSR"	"Orthocladiinae"	24
"467"	"99072CSR"	"Orthocladiinae"	28
"468"	"99059CSR"	"Orthocladiinae"	5
"469"	"00029CSR"	"Orthocladiinae"	57
"470"	"99057CSR"	"Orthocladiinae"	11
"471"	"99069CSR"	"Orthocladiinae"	15
"472"	"99026CSR"	"Orthocladiinae"	16
"473"	"99042CSR"	"Orthocladiinae"	23
"474"	"99004CSR"	"Orthocladiinae"	26
"475"	"01004CSR"	"Orthocladiinae"	9
"476"	"00046CSR"	"Orthocladiinae"	121
"477"	"99020CSR"	"Orthocladiinae"	11
"478"	"00001CSR"	"Orthocladiinae"	15
"479"	"99041CSR"	"Orthocladiinae"	28
"480"	"99051CSR"	"Orthocladiinae"	22
"481"	"99052CSR"	"Orthocladiinae"	8
"482"	"99053CSR"	"Orthocladiinae"	69
"483"	"99040CSR"	"Orthocladiinae"	18
"484"	"99001CSR"	"Orthocladiinae"	18
"485"	"00016CSR"	"Orthocladiinae"	46
"486"	"99002CSR"	"Orthocladiinae"	37
"487"	"99065CSR"	"Orthocladiinae"	83
"488"	"99063CSR"	"Orthocladiinae"	21
"489"	"00105CSR"	"Orthocladiinae"	16
"490"	"99001SPS"	"Orthocladiinae"	43
"491"	"99003SPS"	"Orthocladiinae"	9
"492"	"99033REM"	"Orthocladiinae"	18
"493"	"99015CSR"	"Orthocladiinae"	6
"494"	"99013REM"	"Orthocladiinae"	13
"495"	"99013CSR"	"Orthocladiinae"	3
"496"	"00039CSR"	"Orthocladiinae"	9
"497"	"99012CSR"	"Orthocladiinae"	41
"498"	"99011CSR"	"Orthocladiinae"	10
"499"	"99071CSR"	"Orthocladiinae"	58
"500"	"99073CSR"	"Orthocladiinae"	10
"501"	"99046CSR"	"Orthocladiinae"	7
"502"	"99032CSR"	"Orthocladiinae"	49
"503"	"99010CSR"	"Orthocladiinae"	26
"504"	"99034CSR"	"Orthocladiinae"	54
"505"	"99054CSR"	"Orthocladiinae"	4
"506"	"99023CSR"	"Orthocladiinae"	15
"507"	"99024CSR"	"Orthocladiinae"	62
"508"	"99037CSR"	"Orthocladiinae"	51
"509"	"00069CSR"	"Orthocladiinae"	70
"510"	"99038CSR"	"Orthocladiinae"	4
"511"	"99025CSR"	"Orthocladiinae"	6
"512"	"99022CSR"	"Orthocladiinae"	18
"513"	"00005CSR"	"Orthocladiinae"	38
"514"	"99035CSR"	"Orthocladiinae"	12
"515"	"99048CSR"	"Orthocladiinae"	1
"516"	"99050CSR"	"Orthocladiinae"	6
"517"	"99058CSR"	"Orthocladiinae"	28
"518"	"99006CSR"	"Orthocladiinae"	7
"519"	"99014CSR"	"Orthocladiinae"	17
"520"	"99043CSR"	"Orthocladiinae"	3
"521"	"99044CSR"	"Orthocladiinae"	26
"522"	"99045CSR"	"Orthocladiinae"	3
"523"	"99029CSR"	"Orthocladiinae"	10
"524"	"99030CSR"	"Orthocladiinae"	16
"525"	"99033CSR"	"Orthocladiinae"	24
"526"	"99026REM"	"Orthocladiinae"	7
"527"	"99010REM"	"Orthocladiinae"	20
"528"	"99012REM"	"Orthocladiinae"	15
"529"	"99009REM"	"Orthocladiinae"	22
"530"	"99007REM"	"Orthocladiinae"	70
"531"	"99023REM"	"Orthocladiinae"	26
"532"	"99008REM"	"Orthocladiinae"	18
"533"	"99030REM"	"Orthocladiinae"	13
"534"	"99027REM"	"Orthocladiinae"	9
"535"	"99022REM"	"Orthocladiinae"	20
"536"	"99011REM"	"Orthocladiinae"	29
"537"	"99025REM"	"Orthocladiinae"	53
"538"	"99029REM"	"Orthocladiinae"	43
"539"	"99002REM"	"Orthocladiinae"	55
"540"	"99018REM"	"Orthocladiinae"	12
"541"	"99016REM"	"Orthocladiinae"	29
"542"	"99003REM"	"Orthocladiinae"	48
"543"	"99017REM"	"Orthocladiinae"	44
"544"	"99001REM"	"Orthocladiinae"	13
"545"	"99035REM"	"Orthocladiinae"	93
"546"	"99014REM"	"Orthocladiinae"	56
"547"	"99032REM"	"Orthocladiinae"	2
"548"	"99031REM"	"Orthocladiinae"	21
"549"	"99019REM"	"Orthocladiinae"	39
"550"	"99005REM"	"Orthocladiinae"	38
"551"	"99006REM"	"Orthocladiinae"	30
"552"	"99004REM"	"Orthocladiinae"	7
"553"	"00001REM"	"Orthocladiinae"	23
"554"	"99021REM"	"Orthocladiinae"	27
"555"	"99020REM"	"Orthocladiinae"	12
"556"	"00011REM"	"Orthocladiinae"	34
"557"	"00006REM"	"Orthocladiinae"	33
"558"	"00020CSR"	"Orthocladiinae"	24
"559"	"00002CSR"	"Orthocladiinae"	15
"560"	"00015CSR"	"Orthocladiinae"	29
"561"	"00041CSR"	"Orthocladiinae"	86
"562"	"00019CSR"	"Orthocladiinae"	55
"563"	"00042CSR"	"Orthocladiinae"	6
"564"	"00052CSR"	"Orthocladiinae"	30
"565"	"00036CSR"	"Orthocladiinae"	196
"566"	"00053CSR"	"Orthocladiinae"	15
"567"	"00026CSR"	"Orthocladiinae"	14
"568"	"00065CSR"	"Orthocladiinae"	19
"569"	"00035CSR"	"Orthocladiinae"	63
"570"	"00037CSR"	"Orthocladiinae"	136
"571"	"00045CSR"	"Orthocladiinae"	43
"572"	"00062CSR"	"Orthocladiinae"	12
"573"	"00014CSR"	"Orthocladiinae"	25
"574"	"00013CSR"	"Orthocladiinae"	67
"575"	"00103CSR"	"Orthocladiinae"	43
"576"	"00031CSR"	"Orthocladiinae"	18
"577"	"00012CSR"	"Orthocladiinae"	12
"578"	"00057CSR"	"Orthocladiinae"	9
"579"	"00067CSR"	"Orthocladiinae"	33
"580"	"00027CSR"	"Orthocladiinae"	65
"581"	"00010CSR"	"Orthocladiinae"	19
"582"	"00055CSR"	"Orthocladiinae"	56
"583"	"00056CSR"	"Orthocladiinae"	4
"584"	"00040CSR"	"Orthocladiinae"	20
"585"	"00038CSR"	"Orthocladiinae"	22
"586"	"00025CSR"	"Orthocladiinae"	48
"587"	"00009CSR"	"Orthocladiinae"	131
"588"	"01080CSR"	"Orthocladiinae"	3
"589"	"00048CSR"	"Orthocladiinae"	17
"590"	"00050CSR"	"Orthocladiinae"	12
"591"	"00070CSR"	"Orthocladiinae"	10
"592"	"00071CSR"	"Orthocladiinae"	36
"593"	"00007CSR"	"Orthocladiinae"	10
"594"	"00033CSR"	"Orthocladiinae"	48
"595"	"00034CSR"	"Orthocladiinae"	39
"596"	"00049CSR"	"Orthocladiinae"	60
